,index,name of standard cell,number of fanout
248,1981,sky130_fd_sc_hd__dfrtp_2 U560,18
249,1982,sky130_fd_sc_hd__dfrtp_2 U561,2
250,1983,sky130_fd_sc_hd__dfrtp_2 U562,2
251,1984,sky130_fd_sc_hd__dfrtp_2 U563,2
252,1985,sky130_fd_sc_hd__dfrtp_2 U564,2
253,1986,sky130_fd_sc_hd__dfrtp_2 U565,24
254,1987,sky130_fd_sc_hd__dfrtp_2 U566,24
255,1988,sky130_fd_sc_hd__dfrtp_2 U567,24
256,1989,sky130_fd_sc_hd__dfrtp_2 U568,22
257,1990,sky130_fd_sc_hd__dfrtp_2 U569,22
258,1992,sky130_fd_sc_hd__dfrtp_2 U570,22
259,1993,sky130_fd_sc_hd__dfrtp_2 U571,22
260,1994,sky130_fd_sc_hd__dfrtp_2 U572,20
261,1995,sky130_fd_sc_hd__dfrtp_2 U573,2
262,1996,sky130_fd_sc_hd__dfrtp_2 U574,2
263,1997,sky130_fd_sc_hd__dfrtp_2 U575,2
264,1998,sky130_fd_sc_hd__dfrtp_2 U576,2
265,1999,sky130_fd_sc_hd__dfrtp_2 U577,2
266,2000,sky130_fd_sc_hd__dfrtp_2 U578,2
267,2001,sky130_fd_sc_hd__dfrtp_2 U579,2
268,2003,sky130_fd_sc_hd__dfrtp_2 U580,2
269,2004,sky130_fd_sc_hd__dfrtp_2 U581,2
270,2005,sky130_fd_sc_hd__dfrtp_2 U582,2
271,2006,sky130_fd_sc_hd__dfrtp_2 U583,2
272,2007,sky130_fd_sc_hd__dfrtp_2 U584,2
273,2008,sky130_fd_sc_hd__dfrtp_2 U585,2
274,2009,sky130_fd_sc_hd__dfrtp_2 U586,2
275,2010,sky130_fd_sc_hd__dfrtp_2 U587,2
276,2011,sky130_fd_sc_hd__dfrtp_2 U588,2
277,2012,sky130_fd_sc_hd__dfrtp_2 U589,2
278,2014,sky130_fd_sc_hd__dfrtp_2 U590,2
279,2015,sky130_fd_sc_hd__dfrtp_2 U591,2
280,2016,sky130_fd_sc_hd__dfrtp_2 U592,2
281,2017,sky130_fd_sc_hd__dfrtp_2 U593,2
282,2018,sky130_fd_sc_hd__dfrtp_2 U594,2
283,2019,sky130_fd_sc_hd__dfrtp_2 U595,2
284,2020,sky130_fd_sc_hd__dfrtp_2 U596,2
285,2291,sky130_fd_sc_hd__dfstp_2 U192,42
286,2292,sky130_fd_sc_hd__dfrtp_2 U193,21
287,2293,sky130_fd_sc_hd__dfrtp_2 U194,77
288,2294,sky130_fd_sc_hd__dfrtp_2 U195,21
289,2295,sky130_fd_sc_hd__dfrtp_2 U196,61
290,2296,sky130_fd_sc_hd__dfrtp_2 U197,4
291,2297,sky130_fd_sc_hd__dfrtp_2 U198,22
292,2298,sky130_fd_sc_hd__dfrtp_2 U199,21
293,2301,sky130_fd_sc_hd__dfrtp_2 U200,6
294,2302,sky130_fd_sc_hd__dfrtp_2 U201,6
295,2303,sky130_fd_sc_hd__dfrtp_2 U202,6
296,2304,sky130_fd_sc_hd__dfrtp_2 U203,6
297,2305,sky130_fd_sc_hd__dfrtp_2 U204,6
298,2306,sky130_fd_sc_hd__dfrtp_2 U205,6
299,2307,sky130_fd_sc_hd__dfrtp_2 U206,6
300,2308,sky130_fd_sc_hd__dfrtp_2 U207,4
301,2309,sky130_fd_sc_hd__dfstp_2 U208,5
302,2310,sky130_fd_sc_hd__dfstp_2 U209,6
303,2312,sky130_fd_sc_hd__dfstp_2 U210,6
304,2313,sky130_fd_sc_hd__dfstp_2 U211,6
305,2314,sky130_fd_sc_hd__dfstp_2 U212,6
306,2315,sky130_fd_sc_hd__dfstp_2 U213,6
307,2316,sky130_fd_sc_hd__dfstp_2 U214,6
308,2317,sky130_fd_sc_hd__dfstp_2 U215,4
309,2318,sky130_fd_sc_hd__dfstp_2 U216,6
310,2319,sky130_fd_sc_hd__dfstp_2 U217,7
311,2320,sky130_fd_sc_hd__dfstp_2 U218,7
312,2321,sky130_fd_sc_hd__dfstp_2 U219,7
313,2323,sky130_fd_sc_hd__dfstp_2 U220,7
314,2324,sky130_fd_sc_hd__dfstp_2 U221,7
315,2325,sky130_fd_sc_hd__dfstp_2 U222,6
316,2326,sky130_fd_sc_hd__dfstp_2 U223,4
317,2327,sky130_fd_sc_hd__dfrtp_2 U224,60
318,2328,sky130_fd_sc_hd__dfrtp_2 U225,4
