,index,name of standard cell,number of fanout
216,8170,sky130_fd_sc_hd__dfxtp_2 U7984,3
217,8171,sky130_fd_sc_hd__dfxtp_2 U7985,3
218,8172,sky130_fd_sc_hd__dfxtp_2 U7986,3
219,8173,sky130_fd_sc_hd__dfxtp_2 U7987,3
220,8174,sky130_fd_sc_hd__dfxtp_2 U7988,3
221,8175,sky130_fd_sc_hd__dfxtp_2 U7989,3
222,8177,sky130_fd_sc_hd__dfxtp_2 U7990,3
223,8178,sky130_fd_sc_hd__dfxtp_2 U7991,3
224,8179,sky130_fd_sc_hd__dfxtp_2 U7992,3
225,8180,sky130_fd_sc_hd__dfxtp_2 U7993,3
226,8181,sky130_fd_sc_hd__dfxtp_2 U7994,3
227,8182,sky130_fd_sc_hd__dfxtp_2 U7995,3
228,8183,sky130_fd_sc_hd__dfxtp_2 U7996,3
229,8184,sky130_fd_sc_hd__dfxtp_2 U7997,3
230,8185,sky130_fd_sc_hd__dfxtp_2 U7998,3
231,8186,sky130_fd_sc_hd__dfxtp_2 U7999,4
232,8190,sky130_fd_sc_hd__dfxtp_2 U8000,4
233,8191,sky130_fd_sc_hd__dfxtp_2 U8001,4
234,8192,sky130_fd_sc_hd__dfxtp_2 U8002,4
235,8193,sky130_fd_sc_hd__dfxtp_2 U8003,4
236,8194,sky130_fd_sc_hd__dfxtp_2 U8004,3
237,8195,sky130_fd_sc_hd__dfxtp_2 U8005,3
238,8196,sky130_fd_sc_hd__dfxtp_2 U8006,3
239,8197,sky130_fd_sc_hd__dfxtp_2 U8007,3
240,8198,sky130_fd_sc_hd__dfxtp_2 U8008,3
241,8199,sky130_fd_sc_hd__dfxtp_2 U8009,3
242,8201,sky130_fd_sc_hd__dfxtp_2 U8010,3
243,8202,sky130_fd_sc_hd__dfxtp_2 U8011,3
244,8203,sky130_fd_sc_hd__dfxtp_2 U8012,3
245,8204,sky130_fd_sc_hd__dfxtp_2 U8013,3
246,8205,sky130_fd_sc_hd__dfxtp_2 U8014,3
247,8206,sky130_fd_sc_hd__dfxtp_2 U8015,3
248,8207,sky130_fd_sc_hd__dfxtp_2 U8016,3
249,8208,sky130_fd_sc_hd__dfxtp_2 U8017,3
250,8209,sky130_fd_sc_hd__dfxtp_2 U8018,3
251,8210,sky130_fd_sc_hd__dfxtp_2 U8019,3
252,8212,sky130_fd_sc_hd__dfxtp_2 U8020,3
253,8213,sky130_fd_sc_hd__dfxtp_2 U8021,3
254,8214,sky130_fd_sc_hd__dfxtp_2 U8022,3
255,8215,sky130_fd_sc_hd__dfxtp_2 U8023,3
256,8216,sky130_fd_sc_hd__dfxtp_2 U8024,3
257,8217,sky130_fd_sc_hd__dfxtp_2 U8025,3
258,8218,sky130_fd_sc_hd__dfxtp_2 U8026,3
259,8219,sky130_fd_sc_hd__dfxtp_2 U8027,3
